"","symbol","entrez","entrez_mouse","symbol_mouse"
"4579","UBE2N","7334","93765","Ube2n"
"4580","UBE2V1","7335","66589","Ube2v1"
"4581","UBE2V2","7336","70620","Ube2v2"
"4582","UBE3A","7337","22215","Ube3a"
"4583","SUMO1","7341","22218","Sumo1"
"4584","UBP1","7342","22221","Ubp1"
"4585","UBTF","7343","21429","Ubtf"
"4586","UCHL1","7345","22223","Uchl1"
"4587","UCHL3","7347","50933","Uchl3"
"4588","UPK1B","7348","22268","Upk1b"
"4589","UCN","7349","22226","Ucn"
"4590","UCP1","7350","22227","Ucp1"
"4591","UCP2","7351","22228","Ucp2"
"4592","UCP3","7352","22229","Ucp3"
"4593","UFD1","7353","22230","Ufd1"
"4594","SCGB1A1","7356","22287","Scgb1a1"
"4595","UGCG","7357","22234","Ugcg"
"4596","UGDH","7358","22235","Ugdh"
"4597","UGP2","7360","216558","Ugp2"
"4598","UGT2B7","7364","231396","Ugt2b36"
"4599","UGT2B10","7365","100727","Ugt2b34"
"4600","UGT2B17","7367","71773","Ugt2b1"
"4601","UGT8","7368","22239","Ugt8a"
"4602","UMOD","7369","22242","Umod"
"4603","UCK2","7371","80914","Uck2"
"4604","UMPS","7372","22247","Umps"
"4605","COL14A1","7373","12818","Col14a1"
"4606","UNG","7374","22256","Ung"
"4607","USP4","7375","22258","Usp4"
"4608","NR1H2","7376","22260","Nr1h2"
"4609","UPP1","7378","22271","Upp1"
"4610","UPK2","7379","22269","Upk2"
"4611","UPK3A","7380","22270","Upk3a"
"4612","UQCRB","7381","67530","Uqcrb"
"4613","UQCRC1","7384","22273","Uqcrc1"
"4614","UQCRC2","7385","67003","Uqcrc2"
"4615","UQCRFS1","7386","66694","Uqcrfs1"
"4616","UQCRH","7388","100042918","Uqcrh-ps1"
"4617","UROD","7389","22275","Urod"
"4618","UROS","7390","22276","Uros"
"4619","USF1","7391","22278","Usf1"
"4620","USF2","7392","22282","Usf2"
"4621","USP1","7398","230484","Usp1"
"4622","USH2A","7399","22283","Ush2a"
"4623","CLRN1","7401","229320","Clrn1"
"4624","UTRN","7402","22288","Utrn"
"4625","KDM6A","7403","22289","Kdm6a"
"4626","UVRAG","7405","78610","Uvrag"
"4627","VARS","7407","22321","Vars"
"4628","VASP","7408","22323","Vasp"
"4629","VAV1","7409","22324","Vav1"
"4630","VAV2","7410","22325","Vav2"
"4631","VBP1","7411","22327","Vbp1"
"4632","VCAM1","7412","22329","Vcam1"
"4633","VCL","7414","22330","Vcl"
"4634","VCP","7415","269523","Vcp"
"4635","VDAC1","7416","22333","Vdac1"
"4636","VDAC2","7417","22334","Vdac2"
"4637","VDAC3","7419","22335","Vdac3"
"4638","VDR","7421","22337","Vdr"
"4639","VEGFA","7422","22339","Vegfa"
"4640","VEGFB","7423","22340","Vegfb"
"4641","VEGFC","7424","22341","Vegfc"
"4642","VGF","7425","381677","Vgf"
"4643","VHL","7428","22346","Vhl"
"4644","VIL1","7429","22349","Vil1"
"4645","EZR","7430","22350","Ezr"
"4646","VIM","7431","22352","Vim"
"4647","VIP","7432","22353","Vip"
"4648","VIPR1","7433","22354","Vipr1"
"4649","VIPR2","7434","22355","Vipr2"
"4650","VLDLR","7436","22359","Vldlr"
"4651","BEST1","7439","24115","Best1"
"4652","VPREB1","7441","22362","Vpreb1"
"4653","TRPV1","7442","193034","Trpv1"
"4654","VRK1","7443","22367","Vrk1"
"4655","VRK2","7444","69922","Vrk2"
"4656","VSNL1","7447","26950","Vsnl1"
"4657","VTN","7448","22370","Vtn"
"4658","VWF","7450","22371","Vwf"
"4659","WARS","7453","22375","Wars"
"4660","WAS","7454","22376","Was"
"4661","ZAN","7455","22635","Zan"
"4662","WIPF1","7456","215280","Wipf1"
"4663","EIF4H","7458","22384","Eif4h"
"4664","CLIP2","7461","269713","Clip2"
"4665","LAT2","7462","56743","Lat2"
"4666","CORO2A","7464","107684","Coro2a"
"4667","WEE1","7465","22390","Wee1"
"4668","WFS1","7466","22393","Wfs1"
"4669","NSD2","7468","107823","Nsd2"
"4670","NELFA","7469","24116","Nelfa"
"4671","WNT1","7471","22408","Wnt1"
"4672","WNT2","7472","22413","Wnt2"
"4673","WNT3","7473","22415","Wnt3"
"4674","WNT5A","7474","22418","Wnt5a"
"4675","WNT6","7475","22420","Wnt6"
"4676","WNT7A","7476","22421","Wnt7a"
"4677","WNT7B","7477","22422","Wnt7b"
"4678","WNT8A","7478","20890","Wnt8a"
"4679","WNT8B","7479","22423","Wnt8b"
"4680","WNT10B","7480","22410","Wnt10b"
"4681","WNT11","7481","22411","Wnt11"
"4682","WNT2B","7482","22414","Wnt2b"
"4683","WNT9A","7483","216795","Wnt9a"
"4684","WNT9B","7484","22412","Wnt9b"
"4685","WRB","7485","71446","Wrb"
"4686","WRN","7486","22427","Wrn"
"4687","WT1","7490","22431","Wt1"
"4688","XBP1","7494","22433","Xbp1"
"4689","XDH","7498","22436","Xdh"
"4690","XK","7504","22439","Xk"
"4691","XPA","7507","22590","Xpa"
"4692","XPC","7508","22591","Xpc"
"4693","XPNPEP1","7511","170750","Xpnpep1"
"4694","XPNPEP2","7512","170745","Xpnpep2"
"4695","XPO1","7514","103573","Xpo1"
"4696","XRCC1","7515","22594","Xrcc1"
"4697","XRCC2","7516","57434","Xrcc2"
"4698","XRCC3","7517","74335","Xrcc3"
"4699","XRCC4","7518","108138","Xrcc4"
"4700","XRCC5","7520","22596","Xrcc5"
"4701","YES1","7525","22612","Yes1"
"4702","YY1","7528","22632","Yy1"
"4703","YWHAB","7529","54401","Ywhab"
"4704","YWHAE","7531","22627","Ywhae"
"4705","YWHAG","7532","22628","Ywhag"
"4706","YWHAH","7533","22629","Ywhah"
"4707","YWHAZ","7534","22631","Ywhaz"
"4708","ZAP70","7535","22637","Zap70"
"4709","ZFP36","7538","22695","Zfp36"
"4710","ZFP37","7539","22696","Zfp37"
"4711","ZBTB14","7541","22666","Zbtb14"
"4712","ZFPL1","7542","81909","Zfpl1"
"4713","ZFX","7543","22764","Zfx"
"4714","ZIC1","7545","22771","Zic1"
"4715","ZIC2","7546","22772","Zic2"
"4716","ZIC3","7547","22773","Zic3"
"4717","ZNF2","7549","72180","Zfp661"
"4718","ZNF3","7551","56314","Zfp113"
"4719","ZNF711","7552","245595","Zfp711"
"4720","ZNF7","7553","223669","Zfp7"
"4721","ZNF8","7554","243833","Zfp128"
"4722","CNBP","7555","12785","Cnbp"
"4723","ZNF12","7559","231866","Zfp12"
"4724","ZNF14","7561","208111","Zfp976"
"4725","ZNF18","7566","52712","Zkscan6"
"4726","ZNF182","7569","319535","Zfp182"
"4727","ZNF22","7570","67255","Zfp422"
"4728","ZNF23","7571","234725","Zfp612"
"4729","ZNF24","7572","59057","Zfp24"
"4730","ZSCAN20","7579","269585","Zscan20"
"4731","ZNF32","7580","232337","Zfp637"
"4732","ZNF35","7584","22646","Zfp105"
"4733","ZKSCAN1","7586","74570","Zkscan1"
"4734","ZSCAN21","7589","22697","Zscan21"
"4735","MZF1","7593","109889","Mzf1"
"4736","ZNF43","7594","238690","Zfp458"
"4737","ZBTB25","7597","109929","Zbtb25"
"4738","ZNF76","7629","224656","Zfp523"
"4739","ZNF91","7644","66869","Zfp869"
"4740","ZNF124","7678","102637111","Gm20541"
"4741","MKRN3","7681","22652","Mkrn3"
"4742","ZNF131","7690","72465","Zfp131"
"4743","ZNF142","7701","77264","Zfp142"
"4744","ZNF143","7702","20841","Zfp143"
"4745","PCGF2","7703","22658","Pcgf2"
"4746","ZBTB16","7704","235320","Zbtb16"
"4747","ZNF146","7705","26465","Zfp146"
"4748","TRIM25","7706","217069","Trim25"
"4749","ZNF148","7707","22661","Zfp148"
"4750","ZBTB17","7709","22642","Zbtb17"
"4751","VEZF1","7716","22344","Vezf1"
"4752","TRIM26","7726","22670","Trim26"
"4753","ZNF174","7727","385674","Zfp174"
"4754","ZNF175","7728","69930","Zfp715"
"4755","RNF112","7732","22671","Rnf112"
"4756","ZNF180","7733","210135","Zfp180"
"4757","RNF113A","7737","66381","Rnf113a2"
"4758","ZNF184","7738","193452","Zfp184"
"4759","ZSCAN26","7741","432731","Zscan26"
"4760","ZNF189","7743","230162","Zfp189"
"4761","ZKSCAN8","7745","93681","Zkscan8"
"4762","ZMYM2","7750","76007","Zmym2"
"4763","ZNF202","7753","80902","Zfp202"
"4764","ZNF205","7755","22654","Zfp13"
"4765","ZNF207","7756","22680","Zfp207"
"4766","ZNF208","7757","70227","Zfp619"
"4767","ZNF213","7760","449521","Zfp213"
"4768","ZFAND5","7763","22682","Zfand5"
"4769","ZNF217","7764","228913","Zfp217"
"4770","ZNF226","7769","56707","Zfp111"
"4771","ZNF112","7771","57745","Zfp112"
"4772","ZNF236","7776","329002","Zfp236"
"4773","SLC30A1","7779","22782","Slc30a1"
"4774","SLC30A2","7780","230810","Slc30a2"
"4775","SLC30A3","7781","22784","Slc30a3"
"4776","SLC30A4","7782","22785","Slc30a4"
"4777","ZP2","7783","22787","Zp2"
"4778","ZP3","7784","22788","Zp3"
"4779","MAP3K12","7786","26404","Map3k12"
"4780","ZYX","7791","22793","Zyx"
"4781","MEMO1","7795",NA,NA
"4782","LUZP1","7798","269593","Luzp1"
"4783","PRDM2","7799","110593","Prdm2"
"4784","DNALI1","7802","75563","Dnali1"
"4785","PTP4A1","7803","19243","Ptp4a1"
"4786","LRP8","7804","16975","Lrp8"
"4787","LAPTM5","7805","16792","Laptm5"
"4788","BSND","7809","140475","Bsnd"
"4789","CSDE1","7812","229663","Csde1"
"4790","EVI5","7813","14020","Evi5"
"4791","DAP3","7818","65111","Dap3"
"4792","NPHS2","7827","170484","Nphs2"
"4793","BTG2","7832","12227","Btg2"
"4794","PXDN","7837","69675","Pxdn"
"4795","ALMS1","7840","236266","Alms1"
"4796","MOGS","7841","57377","Mogs"
"4797","RNF103","7844","22644","Rnf103"
"4798","TUBA1A","7846","22142","Tuba1a"
"4799","PAX8","7849","18510","Pax8"
"4800","IL1R2","7850","16178","Il1r2"
"4801","MALL","7851","228576","Mall"
"4802","CXCR4","7852","12767","Cxcr4"
"4803","FZD5","7855","14367","Fzd5"
"4804","SCG2","7857","20254","Scg2"
"4805","BRPF1","7862","78783","Brpf1"
"4806","IFRD2","7866","15983","Ifrd2"
"4807","MAPKAPK3","7867","102626","Mapkapk3"
"4808","SEMA3B","7869","20347","Sema3b"
"4809","SLMAP","7871","83997","Slmap"
"4810","MANF","7873","74840","Manf"
"4811","USP7","7874","252870","Usp7"
"4812","RAB7A","7879","19349","Rab7"
"4813","KCNAB1","7881","16497","Kcnab1"
"4814","SLBP","7884","20492","Slbp"
"4815","ST8SIA4","7903","20452","St8sia4"
"4816","REEP5","7905","13476","Reep5"
"4817","DEK","7913","110052","Dek"
"4818","ALDH5A1","7915","214579","Aldh5a1"
"4819","PRRC2A","7916","53761","Prrc2a"
"4820","BAG6","7917","224727","Bag6"
"4821","GPANK1","7918","81845","Gpank1"
"4822","DDX39B","7919","53817","Ddx39b"
"4823","ABHD16A","7920","193742","Abhd16a"
"4824","SLC39A7","7922","14977","Slc39a7"
"4825","HSD17B8","7923","14979","H2-Ke6"
"4826","OR2H2","7932","258469","Olfr90"
"4827","NELFE","7936","27632","Nelfe"
"4828","PLA2G7","7941","27226","Pla2g7"
"4829","TFEB","7942","21425","Tfeb"
"4830","EPM2A","7957","13853","Epm2a"
"4831","AIMP2","7965","231872","Aimp2"
"4832","MAFK","7975","17135","Mafk"
"4833","FZD3","7976","14365","Fzd3"
"4834","MTERF1","7978","208595","Mterf1b"
"4835","SEM1","7979","20422","Sem1"
"4836","TFPI2","7980","21789","Tfpi2"
"4837","ST7","7982","64213","St7"
"4838","ARHGEF5","7984","54324","Arhgef5"
"4839","ZNF212","7988","232784","Zfp212"
"4840","TUSC3","7991","80286","Tusc3"
"4841","UBXN8","7993","108159","Ubxn8"
"4842","KAT6A","7994","244349","Kat6a"
"4843","PSCA","8000","72373","Psca"
"4844","GLRA3","8001","110304","Glra3"
"4845","NR4A3","8013","18124","Nr4a3"
"4846","BRD3","8019","67382","Brd3"
"4847","NUP214","8021","227720","Nup214"
"4848","LHX3","8022","16871","Lhx3"
"4849","STAM","8027","20844","Stam"
"4850","MLLT10","8028","17354","Mllt10"
"4851","CUBN","8029","65969","Cubn"
"4852","CCDC6","8030","76551","Ccdc6"
"4853","NCOA4","8031","27057","Ncoa4"
"4854","SLC25A16","8034","73132","Slc25a16"
"4855","SHOC2","8036","56392","Shoc2"
"4856","ADAM12","8038","11489","Adam12"
"4857","RASSF7","8045","66985","Rassf7"
"4858","CSRP3","8048","13009","Csrp3"
"4859","PDHX","8050","27402","Pdhx"
"4860","FOSL1","8061","14283","Fosl1"
"4861","CUL5","8065","75717","Cul5"
"4862","PTP4A2","8073","19244","Ptp4a2"
"4863","FGF23","8074","64654","Fgf23"
"4864","MFAP5","8076","50530","Mfap5"
"4865","USP5","8078","22225","Usp5"
"4866","MLF2","8079","30853","Mlf2"
"4867","SSPN","8082","16651","Sspn"
"4868","KMT2D","8085","381022","Kmt2d"
"4869","AAAS","8086","223921","Aaas"
"4870","FXR1","8087","14359","Fxr1"
"4871","YEATS4","8089","64050","Yeats4"
"4872","ALX1","8092","216285","Alx1"
"4873","CDK2AP1","8099","13445","Cdk2ap1"
"4874","IFT88","8100","21821","Ift88"
"4875","PABPN1","8106","54196","Pabpn1"
"4876","DPF3","8110","70127","Dpf3"
"4877","GPR68","8111","238377","Gpr68"
"4878","TCL1A","8115","21432","Tcl1"
"4879","AP3B2","8120","11775","Ap3b2"
"4880","ST8SIA2","8128","20450","St8sia2"
"4881","NPRL3","8131","17168","Nprl3"
"4882","GAN","8139","209239","Gan"
"4883","SLC7A5","8140","20539","Slc7a5"
"4884","TAF15","8148","70439","Taf15"
"4885","RND2","8153","11858","Rnd2"
"4886","COIL","8161","12812","Coil"
"4887","AKAP1","8165","11640","Akap1"
"4888","SLC14A2","8170","27411","Slc14a2"
"4889","ELL","8178","13716","Ell"
"4890","ZNF239","8187","22685","Zfp239"
"4891","SYMPK","8189","68188","Sympk"
"4892","MIA","8190","12587","Mia"
"4893","CLPP","8192","53895","Clpp"
"4894","DPF1","8193","29861","Dpf1"
"4895","MKKS","8195","59030","Mkks"
"4896","GDF5","8200","14563","Gdf5"
"4897","NCOA3","8202","17979","Ncoa3"
"4898","NRIP1","8204","268903","Nrip1"
"4899","CHAF1B","8208","110749","Chaf1b"
"4900","C21orf33","8209","28295","D10Jhu81e"
"4901","LZTR1","8216","66863","Lztr1"
"4902","ESS2","8220","27886","Dgcr14"
"4903","SYN3","8224","27204","Syn3"
"4904","GTPBP6","8225","107999","Gtpbp6"
"4905","PUDP","8226","67365","Pudp"
"4906","ZRSR2","8233","22184","Zrsr2"
"4907","USP11","8237","236733","Usp11"
"4908","USP9X","8239","22284","Usp9x"
"4909","RBM10","8241","236732","Rbm10"
"4910","KDM5C","8242","20591","Kdm5c"
"4911","SMC1A","8243","24061","Smc1a"
"4912","NAA10","8260","56292","Naa10"
"4913","UBL4A","8266","27643","Ubl4a"
"4914","SLC10A3","8273","214601","Slc10a3"
"4915","TKTL1","8277","83553","Tktl1"
"4916","KDM5D","8284","20592","Kdm5d"
"4917","USP9Y","8287","107868","Usp9y"
"4918","EPX","8288","13861","Epx"
"4919","ARID1A","8289","93760","Arid1a"
"4920","DYSF","8291","26903","Dysf"
"4921","COLQ","8292","382864","Colq"
"4922","SERF1A","8293","20365","Serf1"
"4923","HIST1H4I","8294","69386","Hist1h4h"
"4924","TRRAP","8295","100683","Trrap"
"4925","PICALM","8301","233489","Picalm"
"4926","SNN","8303","20621","Snn"
"4927","ACOX2","8309","93732","Acox2"
"4928","ACOX3","8310","80911","Acox3"
"4929","AXIN1","8312","12005","Axin1"
"4930","AXIN2","8313","12006","Axin2"
"4931","BAP1","8314","104416","Bap1"
"4932","BRAP","8315","72399","Brap"
"4933","CDC7","8317","12545","Cdc7"
"4934","CDC45","8318","12544","Cdc45"
"4935","EOMES","8320","13813","Eomes"
"4936","FZD1","8321","14362","Fzd1"
"4937","FZD4","8322","14366","Fzd4"
"4938","FZD6","8323","14368","Fzd6"
"4939","FZD7","8324","14369","Fzd7"
"4940","FZD8","8325","14370","Fzd8"
"4941","FZD9","8326","14371","Fzd9"
"4942","GFI1B","8328","14582","Gfi1b"
"4943","HIST1H2AK","8330","319164","Hist1h2ac"
"4944","HIST1H2AJ","8331","319173","Hist1h2af"
"4945","HIST1H2AL","8332","319166","Hist1h2ae"
"4946","HIST1H2AC","8334","665433","Hist1h2ao"
"4947","HIST1H2AB","8335","319167","Hist1h2ag"
"4948","HIST1H2AM","8336","319165","Hist1h2ad"
"4949","HIST2H2AC","8338","319176","Hist2h2ac"
"4950","HIST1H2BG","8339","319180","Hist1h2bf"
"4951","HIST1H2BL","8340","319183","Hist1h2bj"
"4952","HIST1H2BN","8341","319186","Hist1h2bm"
"4953","HIST1H2BM","8342","319187","Hist1h2bn"
"4954","HIST1H2BF","8343","319179","Hist1h2be"
"4955","HIST1H2BE","8344","319185","Hist1h2bl"
"4956","HIST1H2BH","8345","665596","Hist1h2bq"
"4957","HIST1H2BI","8346","68024","Hist1h2bc"
"4958","HIST1H2BC","8347","319181","Hist1h2bg"
"4959","HIST1H2BO","8348","319188","Hist1h2bp"
"4960","HIST1H3A","8350","319149","Hist1h3d"
"4961","HIST1H3D","8351","360198","Hist1h3a"
"4962","HIST1H3C","8352","15077","Hist2h3c1"
"4963","HIST1H3E","8353","319152","Hist1h3h"
"4964","HIST1H3I","8354","319151","Hist1h3e"
"4965","HIST1H3G","8355","97114","Hist2h3c2"
"4966","HIST1H3J","8356","97908","Hist1h3g"
"4967","HIST1H3H","8357","319150","Hist1h3b"
"4968","HIST1H3B","8358","319154","Hist2h3b"
"4969","HIST1H4A","8359","319156","Hist1h4d"
"4970","HIST1H4D","8360","100041230","Hist1h4m"
"4971","HIST1H4F","8361","319155","Hist1h4c"
"4972","HIST1H4K","8362","319159","Hist1h4j"
"4973","HIST1H4J","8363","319157","Hist1h4f"
"4974","HIST1H4C","8364","97122","Hist2h4"
"4975","HIST1H4H","8365","319160","Hist1h4k"
"4976","HIST1H4B","8366","320332","Hist4h4"
"4977","HIST1H4L","8368","319161","Hist1h4n"
"4978","HIST2H4A","8370","326620","Hist1h4b"
"4979","HYAL3","8372","109685","Hyal3"
"4980","MAD1L1","8379","17120","Mad1l1"
"4981","NME5","8382","75533","Nme5"
"4982","OR1A1","8383","258706","Olfr43"
"4983","OR1E2","8388","258925","Olfr20"
"4984","OR3A3","8392","258704","Olfr411"
"4985","PIP5K1A","8394","18720","Pip5k1a"
"4986","PIP5K1B","8395","18719","Pip5k1b"
"4987","PIP4K2B","8396","108083","Pip4k2b"
"4988","PLA2G6","8398","53357","Pla2g6"
"4989","PLA2G10","8399","26565","Pla2g10"
"4990","SLC25A11","8402","67863","Slc25a11"
"4991","SOX14","8403","20669","Sox14"
"4992","SPARCL1","8404","13602","Sparcl1"
"4993","SPOP","8405","20747","Spop"
"4994","SRPX","8406","51795","Srpx"
"4995","TAGLN2","8407","21346","Tagln2"
"4996","ULK1","8408","22241","Ulk1"
"4997","UXT","8409","22294","Uxt"
"4998","EEA1","8411","216238","Eea1"
"4999","BCAR3","8412","29815","Bcar3"
"5000","ANXA9","8416","71790","Anxa9"
"5001","STX7","8417","53331","Stx7"
"5002","BFSP2","8419","107993","Bfsp2"
"5003","BBOX1","8424","170442","Bbox1"
"5004","LTBP4","8425","108075","Ltbp4"
"5005","ZNF282","8427","101095","Zfp282"
"5006","STK24","8428","223255","Stk24"
"5007","NR0B2","8431","23957","Nr0b2"
"5008","UTF1","8433","22286","Utf1"
"5009","RECK","8434","53614","Reck"
"5010","SOAT2","8435","223920","Soat2"
"5011","CAVIN2","8436","20324","Cavin2"
"5012","RASAL1","8437","19415","Rasal1"
"5013","RAD54L","8438","19366","Rad54l"
"5014","NSMAF","8439","18201","Nsmaf"
"5015","NCK2","8440","17974","Nck2"
"5016","GNPAT","8443","14712","Gnpat"
"5017","DYRK3","8444","226419","Dyrk3"
"5018","DYRK2","8445","69181","Dyrk2"
"5019","DUSP11","8446","72102","Dusp11"
"5020","DOC2B","8447","13447","Doc2b"
"5021","DOC2A","8448","13446","Doc2a"
"5022","DHX16","8449","69192","Dhx16"
"5023","CUL4B","8450","72584","Cul4b"
"5024","CUL4A","8451","99375","Cul4a"
"5025","CUL3","8452","26554","Cul3"
"5026","CUL2","8453","71745","Cul2"
"5027","CUL1","8454","26965","Cul1"
"5028","ATRN","8455","11990","Atrn"
"5029","FOXN1","8456","15218","Foxn1"
"5030","TTF2","8458","74044","Ttf2"
"5031","TPST2","8459","22022","Tpst2"
"5032","TPST1","8460","22021","Tpst1"
"5033","KLF11","8462","194655","Klf11"
"5034","TEAD2","8463","21677","Tead2"
"5035","SUPT3H","8464","109115","Supt3"
"5036","SMARCA5","8467","93762","Smarca5"
"5037","FKBP6","8468","94244","Fkbp6"
"5038","SORBS2","8470","234214","Sorbs2"
"5039","OGT","8473","108155","Ogt"
"5040","CDC42BPA","8476","226751","Cdc42bpa"
"5041","GPR65","8477","14744","Gpr65"
"5042","HIRIP3","8479","233876","Hirip3"
"5043","RAE1","8480","66679","Rae1"
"5044","OFD1","8481","237222","Ofd1"
"5045","SEMA7A","8482","20361","Sema7a"
"5046","CILP","8483","214425","Cilp"
"5047","GALR3","8484","14429","Galr3"
"5048","GEMIN2","8487","66603","Gemin2"
"5049","RGS5","8490","19737","Rgs5"
"5050","MAP4K3","8491","225028","Map4k3"
"5051","PRSS12","8492","19142","Prss12"
"5052","PPM1D","8493","53892","Ppm1d"
"5053","PPFIBP2","8495","19024","Ppfibp2"
"5054","PPFIBP1","8496","67533","Ppfibp1"
"5055","RANBP3","8498","71810","Ranbp3"
"5056","PPFIA2","8499","327814","Ppfia2"
"5057","PPFIA1","8500","233977","Ppfia1"
"5058","SLC43A1","8501","72401","Slc43a1"
"5059","PKP4","8502","227937","Pkp4"
"5060","PIK3R3","8503","18710","Pik3r3"
"5061","PEX3","8504","56535","Pex3"
"5062","PARG","8505","26430","Parg"
"5063","CNTNAP1","8506","53321","Cntnap1"
"5064","ENC1","8507","13803","Enc1"
"5065","NIPSNAP1","8508","18082","Nipsnap1"
"5066","NDST2","8509","17423","Ndst2"
"5067","MMP23B","8510","26561","Mmp23"
"5068","LIPF","8513","67717","Lipf"
"5069","KCNAB2","8514","16498","Kcnab2"
"5070","ITGA10","8515","213119","Itga10"
"5071","ITGA8","8516","241226","Itga8"
"5072","IKBKG","8517","16151","Ikbkg"
"5073","ELP1","8518","230233","Ikbkap"
"5074","HAT1","8520","107435","Hat1"
"5075","GCM1","8521","14531","Gcm1"
"5076","GAS7","8522","14457","Gas7"
"5077","DGKZ","8525","104418","Dgkz"
"5078","DGKE","8526","56077","Dgke"
"5079","DGKD","8527","227333","Dgkd"
"5080","DDO","8528","70503","Ddo"
"5081","CYP4F2","8529","72054","Cyp4f18"
"5082","CST7","8530","13011","Cst7"
"5083","YBX3","8531","56449","Ybx3"
"5084","CPZ","8532","242939","Cpz"
"5085","COPS3","8533","26572","Cops3"
"5086","CHST1","8534","76969","Chst1"
"5087","CBX4","8535","12418","Cbx4"
"5088","CAMK1","8536","52163","Camk1"
"5089","BCAS1","8537","76960","Bcas1"
"5090","BARX2","8538","12023","Barx2"
"5091","API5","8539","11800","Api5"
"5092","AGPS","8540","228061","Agps"
"5093","PPFIA3","8541","76787","Ppfia3"
"5094","LMO4","8543","16911","Lmo4"
"5095","PIR","8544","69656","Pir"
"5096","CGGBP1","8545","106143","Cggbp1"
"5097","AP3B1","8546","11774","Ap3b1"
"5098","BLZF1","8548","66352","Blzf1"
"5099","LGR5","8549","14160","Lgr5"
"5100","MAPKAPK5","8550","17165","Mapkapk5"
"5101","BHLHE40","8553","20893","Bhlhe40"
"5102","PIAS1","8554","56469","Pias1"
"5103","CDC14B","8555","218294","Cdc14b"
"5104","CDC14A","8556","229776","Cdc14a"
"5105","TCAP","8557","21393","Tcap"
"5106","CDK10","8558","234854","Cdk10"
"5107","PRPF18","8559","67229","Prpf18"
"5108","DEGS1","8560","13244","Degs1"
"5109","DENR","8562","68184","Denr"
"5110","THOC5","8563","107829","Thoc5"
"5111","KMO","8564","98256","Kmo"
"5112","YARS","8565","107271","Yars"
"5113","PDXK","8566","216134","Pdxk"
"5114","MADD","8567","228355","Madd"
"5115","MKNK1","8569","17346","Mknk1"
"5116","KHSRP","8570","16549","Khsrp"
"5117","PDLIM4","8572","30794","Pdlim4"
"5118","CASK","8573","12361","Cask"
"5119","AKR7A2","8574","110198","Akr7a5"
"5120","PRKRA","8575","23992","Prkra"
"5121","STK16","8576","20872","Stk16"
"5122","TMEFF1","8577","230157","Tmeff1"
"5123","SCARF1","8578","380713","Scarf1"
"5124","LY6D","8581","17068","Ly6d"
"5125","OR6A2","8590","18317","Olfr2"
"5126","TNFSF11","8600","21943","Tnfsf11"
"5127","RGS20","8601","58175","Rgs20"
"5128","NOP14","8602","75416","Nop14"
"5129","FAM193A","8603","231128","Fam193a"
"5130","SLC25A12","8604","78830","Slc25a12"
"5131","PLA2G4C","8605","232889","Pla2g4c"
"5132","RUVBL1","8607","56505","Ruvbl1"
"5133","RDH16","8608","19683","Rdh16"
"5134","KLF7","8609","93691","Klf7"
"5135","PLPP2","8612","50784","Plpp2"
"5136","PLPP3","8613","67916","Plpp3"
"5137","STC2","8614","20856","Stc2"
"5138","USO1","8615","56041","Uso1"
"5139","CADPS","8618","27062","Cadps"
"5140","NPFF","8620","54615","Npff"
"5141","CDK13","8621","69562","Cdk13"
"5142","PDE8B","8622","218461","Pde8b"
"5143","PSMG1","8624","56088","Psmg1"
"5144","RFXANK","8625","19727","Rfxank"
"5145","TP63","8626","22061","Trp63"
"5146","JRK","8629","16469","Jrk"
"5147","HSD17B6","8630","27400","Hsd17b6"
"5148","SKAP1","8631","78473","Skap1"
"5149","DNAH17","8632","69926","Dnah17"
"5150","UNC5C","8633","22253","Unc5c"
"5151","RTCA","8634","66368","Rtca"
"5152","RNASET2","8635","68195","Rnaset2b"
"5153","SSNA1","8636","68475","Ssna1"
"5154","EIF4EBP3","8637","108112","Eif4ebp3"
"5155","OASL","8638","231655","Oasl1"
"5156","AOC3","8639","11754","Aoc3"
"5157","PCDHGB4","8641","93701","Pcdhgb4"
"5158","DCHS1","8642","233651","Dchs1"
"5159","PTCH2","8643","19207","Ptch2"
"5160","AKR1C3","8644","105349","Akr1c18"
"5161","KCNK5","8645","16529","Kcnk5"
"5162","CHRD","8646","12667","Chrd"
"5163","ABCB11","8647","27413","Abcb11"
"5164","NCOA1","8648","17977","Ncoa1"
"5165","LAMTOR3","8649","56692","Lamtor3"
"5166","NUMB","8650","18222","Numb"
"5167","SOCS1","8651","12703","Socs1"
"5168","DDX3Y","8653","26900","Ddx3y"
"5169","PDE5A","8654","242202","Pde5a"
"5170","DYNLL1","8655","56455","Dynll1"
"5171","TNKS","8658","21951","Tnks"
"5172","ALDH4A1","8659","212647","Aldh4a1"
"5173","IRS2","8660","384783","Irs2"
"5174","EIF3A","8661","13669","Eif3a"
"5175","EIF3B","8662","27979","Eif3b"
"5176","EIF3C","8663","56347","Eif3c"
"5177","EIF3D","8664","55944","Eif3d"
"5178","EIF3F","8665","66085","Eif3f"
"5179","EIF3G","8666","53356","Eif3g"
"5180","EIF3H","8667","68135","Eif3h"
"5181","EIF3I","8668","54709","Eif3i"
"5182","EIF3J","8669","78655","Eif3j1"
"5183","SLC4A4","8671","54403","Slc4a4"
"5184","EIF4G3","8672","230861","Eif4g3"
"5185","VAMP8","8673","22320","Vamp8"
"5186","VAMP4","8674","53330","Vamp4"
